0,2,3,5,5,6,7,8,9,0,11,12,13,14,15,16,17,18,52,20,2,,0,,
02,8,3,5,5,6,7,8,9,2,,8,3,4,5,6,7,8,99,22,2,88,23,32,
0,2,3,5,5,6,7,8,9,0,11,12,13,14,15,16,17,18,52,20,2,,0,,
02,8,3,5,5,6,7,8,9,2,,8,3,4,5,6,7,8,99,22,2,88,23,32,
0,2,3,5,5,6,7,8,9,0,11,12,13,14,15,16,17,18,52,20,2,,0,,
02,8,3,5,5,6,7,8,9,2,,8,3,4,5,6,7,8,99,22,2,88,23,32,
0,2,3,5,5,6,7,8,9,0,11,12,13,14,15,16,17,18,52,20,2,,0,,
02,8,3,5,5,6,7,8,9,2,,8,3,4,5,6,7,8,99,22,2,88,23,32,
0,2,3,5,5,6,7,8,9,0,11,12,13,14,15,16,17,18,52,20,2,,0,,
02,8,3,5,5,6,7,8,9,2,,8,3,4,5,6,7,8,99,22,2,88,23,32,
0,2,3,5,5,6,7,8,9,0,11,12,13,14,15,16,17,18,52,20,2,,0,,
02,8,3,5,5,6,7,8,9,2,,8,3,4,5,6,7,8,99,22,2,88,23,32,
0,2,3,5,5,6,7,8,9,0,11,12,13,14,15,16,17,18,52,20,2,,0,,
02,8,3,5,5,6,7,8,9,2,,8,3,4,5,6,7,8,99,22,2,88,23,32,
0,2,3,5,5,6,7,8,9,0,11,12,13,14,15,16,17,18,52,20,2,,0,,
02,8,3,5,5,6,7,8,9,2,,8,3,4,5,6,7,8,99,22,2,88,23,32,
0,2,3,5,5,6,7,8,9,0,11,12,13,14,15,16,17,18,52,20,2,,0,,
02,8,3,5,5,6,7,8,9,2,,8,3,4,5,6,7,8,99,22,2,88,23,32,
0,2,3,5,5,6,7,8,9,0,11,12,13,14,15,16,17,18,52,20,2,,0,,
02,8,3,5,5,6,7,8,9,2,,8,3,4,5,6,7,8,99,22,2,88,23,32,
0,2,3,5,5,6,7,8,9,0,11,12,13,14,15,16,17,18,52,20,2,,0,,
02,8,3,5,5,6,7,8,9,2,,8,3,4,5,6,7,8,99,22,2,88,23,32,
